,Unnamed: 0,brand,model,year,price_in_euro,power_ps
78750,237945,volkswagen, Caddy,2019,31500,150
78756,237951,volkswagen, Caddy,2019,25480,102
78757,237952,volkswagen, Caddy,2019,29890,150
78760,237955,volkswagen, Caddy,2019,24480,102
78775,237973,volkswagen, Caddy,2019,23849,102
78822,238024,volkswagen, Caddy,2019,18880,102
78892,238100,volkswagen, Caddy,2019,18549,131
78909,238119,volkswagen, Caddy,2019,25990,131
78923,238134,volkswagen, Caddy,2019,34980,102
78925,238136,volkswagen, Caddy,2019,15990,102
78926,238137,volkswagen, Caddy,2019,34980,102
78928,238139,volkswagen, Caddy,2019,25300,122
78929,238140,volkswagen, Caddy,2019,18990,102
78932,238143,volkswagen, Caddy,2019,28499,122
78933,238144,volkswagen, Caddy,2019,36980,102
78952,238168,volkswagen, Caddy,2019,24999,131
78971,238189,volkswagen, Caddy,2019,36980,102
79075,238307,volkswagen, Caddy,2019,23980,122
79125,238363,volkswagen, Caddy,2019,23290,122
79130,238368,volkswagen, Caddy,2019,28990,131
79137,238375,volkswagen, Caddy,2019,26290,131
79151,238391,volkswagen, Caddy,2019,24800,102
79158,238398,volkswagen, Caddy,2019,19690,150
79160,238400,volkswagen, Caddy,2019,19490,150
79163,238403,volkswagen, Caddy,2019,24950,102
79164,238406,volkswagen, Caddy,2019,25990,131
79176,238420,volkswagen, Caddy,2019,24380,102
79181,238425,volkswagen, Caddy,2019,18490,150
79183,238427,volkswagen, Caddy,2019,39500,131
79193,238437,volkswagen, Caddy,2019,29000,102
79231,238480,volkswagen, Caddy,2019,29000,150
79237,238487,volkswagen, Caddy,2019,18490,75
79243,238493,volkswagen, Caddy,2019,28590,150
79245,238495,volkswagen, Caddy,2019,15450,102
79254,238504,volkswagen, Caddy,2019,14980,102
79270,238526,volkswagen, Caddy,2019,15990,102
79273,238529,volkswagen, Caddy,2019,18930,102
79350,238615,volkswagen, Caddy,2019,31890,131
79394,238662,volkswagen, Caddy,2019,55990,131
79426,238698,volkswagen, Caddy,2019,18700,122
79486,238763,volkswagen, Caddy,2019,27989,150
79512,238794,volkswagen, Caddy,2019,29460,131
79518,238800,volkswagen, Caddy,2019,17400,122
79548,238834,volkswagen, Caddy,2019,24885,102
79558,238844,volkswagen, Caddy,2019,40900,102
79559,238845,volkswagen, Caddy,2019,25490,150
79591,238886,volkswagen, Caddy,2019,18450,75
79593,238888,volkswagen, Caddy,2019,26870,131
79595,238890,volkswagen, Caddy,2019,16980,75
79598,238894,volkswagen, Caddy,2019,20849,102
79606,238902,volkswagen, Caddy,2019,16950,102
79609,238905,volkswagen, Caddy,2019,18900,102
79615,238911,volkswagen, Caddy,2019,22990,75
79633,238929,volkswagen, Caddy,2019,26950,131
79635,238931,volkswagen, Caddy,2019,31790,150
79660,238959,volkswagen, Caddy,2019,43950,131
79662,238961,volkswagen, Caddy,2019,39900,102
79744,239051,volkswagen, Caddy,2019,23990,131
79750,239059,volkswagen, Caddy,2019,26990,131
79805,239115,volkswagen, Caddy,2019,13900,75
79822,239133,volkswagen, Caddy,2019,26990,150
79835,239147,volkswagen, Caddy,2019,18950,131
79884,239199,volkswagen, Caddy,2019,25980,131
79898,239215,volkswagen, Caddy,2019,47980,131
79923,239241,volkswagen, Caddy,2019,12980,102
79924,239242,volkswagen, Caddy,2019,16990,102
79944,239262,volkswagen, Caddy,2019,24870,102
79945,239263,volkswagen, Caddy,2019,12800,102
79949,239267,volkswagen, Caddy,2019,13490,102
79956,239274,volkswagen, Caddy,2019,23880,131
79964,239282,volkswagen, Caddy,2019,13290,102
79969,239287,volkswagen, Caddy,2019,12980,102
79978,239297,volkswagen, Caddy,2019,12498,102
80042,239364,volkswagen, Caddy,2019,18980,150
80070,239395,volkswagen, Caddy,2019,29900,150
80116,239444,volkswagen, Caddy,2019,23990,122
80121,239450,volkswagen, Caddy,2019,31150,150
80126,239455,volkswagen, Caddy,2019,27990,150
80144,239473,volkswagen, Caddy,2019,24088,102
80220,239557,volkswagen, Caddy,2019,27990,122
80244,239583,volkswagen, Caddy,2019,22990,102
80315,239667,volkswagen, Caddy,2019,20898,102
80317,239669,volkswagen, Caddy,2019,38990,150
