,Unnamed: 0,brand,model,year,price_in_euro,power_ps
78747,237941,volkswagen, Golf,2019,19890,131
78821,238022,volkswagen, Golf,2019,34750,300
78835,238039,volkswagen, Golf,2019,18350,116
78836,238040,volkswagen, Golf,2019,18550,116
78851,238055,volkswagen, Golf,2019,21440,131
78855,238059,volkswagen, Golf,2019,22449,150
78880,238086,volkswagen, Golf,2019,27700,300
78896,238104,volkswagen, Golf,2019,24790,131
78902,238112,volkswagen, Golf,2019,17490,131
78905,238115,volkswagen, Golf,2019,17850,116
78922,238133,volkswagen, Golf,2019,20990,116
78924,238135,volkswagen, Golf,2019,14950,116
78943,238156,volkswagen, Golf,2019,22999,245
78944,238157,volkswagen, Golf,2019,33330,300
78946,238160,volkswagen, Golf,2019,17840,116
78961,238178,volkswagen, Golf,2019,31000,300
78969,238187,volkswagen, Golf,2019,27750,184
78974,238192,volkswagen, Golf,2019,16380,86
78976,238195,volkswagen, Golf,2019,22900,184
78977,238196,volkswagen, Golf,2019,38800,300
78984,238203,volkswagen, Golf,2019,22490,131
78990,238210,volkswagen, Golf,2019,19970,116
78993,238213,volkswagen, Golf,2019,27990,184
78995,238216,volkswagen, Golf,2019,23999,184
78999,238220,volkswagen, Golf,2019,26690,300
79000,238221,volkswagen, Golf,2019,21890,245
79003,238225,volkswagen, Golf,2019,21500,184
79008,238230,volkswagen, Golf,2019,16299,116
79010,238232,volkswagen, Golf,2019,19444,150
79015,238238,volkswagen, Golf,2019,17600,116
79016,238239,volkswagen, Golf,2019,24770,184
79017,238240,volkswagen, Golf,2019,27930,245
79031,238255,volkswagen, Golf,2019,26990,245
79032,238256,volkswagen, Golf,2019,18500,131
79034,238258,volkswagen, Golf,2019,31480,300
79039,238264,volkswagen, Golf,2019,19330,116
79041,238267,volkswagen, Golf,2019,19990,184
79044,238271,volkswagen, Golf,2019,13940,116
79048,238275,volkswagen, Golf,2019,36930,300
79050,238277,volkswagen, Golf,2019,14980,116
79053,238280,volkswagen, Golf,2019,18990,150
79055,238282,volkswagen, Golf,2019,17439,116
79060,238288,volkswagen, Golf,2019,30980,290
79061,238290,volkswagen, Golf,2019,31000,245
79063,238292,volkswagen, Golf,2019,18990,116
79077,238309,volkswagen, Golf,2019,20650,116
79092,238325,volkswagen, Golf,2019,24250,150
79096,238330,volkswagen, Golf,2019,24145,245
79099,238333,volkswagen, Golf,2019,15399,116
79101,238336,volkswagen, Golf,2019,19490,116
79105,238340,volkswagen, Golf,2019,19490,150
79111,238347,volkswagen, Golf,2019,26850,245
79112,238349,volkswagen, Golf,2019,15450,116
79119,238357,volkswagen, Golf,2019,32000,300
79121,238359,volkswagen, Golf,2019,26400,245
79145,238385,volkswagen, Golf,2019,19480,150
79146,238386,volkswagen, Golf,2019,28700,150
79148,238388,volkswagen, Golf,2019,28777,184
79225,238474,volkswagen, Golf,2019,20700,116
79228,238477,volkswagen, Golf,2019,37449,300
79233,238482,volkswagen, Golf,2019,18990,116
79236,238486,volkswagen, Golf,2019,25555,131
79256,238508,volkswagen, Golf,2019,17969,150
79259,238514,volkswagen, Golf,2019,29948,300
79274,238530,volkswagen, Golf,2019,20679,116
79296,238558,volkswagen, Golf,2019,32980,290
79304,238566,volkswagen, Golf,2019,16890,116
79309,238571,volkswagen, Golf,2019,11999,116
79315,238579,volkswagen, Golf,2019,27380,245
79330,238594,volkswagen, Golf,2019,24400,150
79332,238596,volkswagen, Golf,2019,29430,290
79335,238599,volkswagen, Golf,2019,25990,245
79336,238600,volkswagen, Golf,2019,16990,116
79340,238604,volkswagen, Golf,2019,33575,150
79341,238605,volkswagen, Golf,2019,18990,290
79342,238606,volkswagen, Golf,2019,20999,116
79346,238610,volkswagen, Golf,2019,20930,290
79355,238620,volkswagen, Golf,2019,21430,150
79356,238621,volkswagen, Golf,2019,17889,150
79363,238629,volkswagen, Golf,2019,17950,116
79368,238635,volkswagen, Golf,2019,17800,116
79376,238643,volkswagen, Golf,2019,15990,116
79381,238648,volkswagen, Golf,2019,23840,150
79387,238655,volkswagen, Golf,2019,36995,116
79389,238657,volkswagen, Golf,2019,58970,150
79422,238693,volkswagen, Golf,2019,20980,116
79438,238712,volkswagen, Golf,2019,19980,131
79440,238714,volkswagen, Golf,2019,18980,131
79474,238749,volkswagen, Golf,2019,15400,86
79475,238751,volkswagen, Golf,2019,13680,150
79485,238762,volkswagen, Golf,2019,17400,131
79487,238764,volkswagen, Golf,2019,19870,116
79491,238769,volkswagen, Golf,2019,29990,290
79492,238770,volkswagen, Golf,2019,21900,184
79498,238777,volkswagen, Golf,2019,33380,290
79499,238778,volkswagen, Golf,2019,29840,290
79500,238781,volkswagen, Golf,2019,29980,290
79504,238785,volkswagen, Golf,2019,19440,150
79516,238798,volkswagen, Golf,2019,21990,131
79521,238804,volkswagen, Golf,2019,16999,116
79525,238808,volkswagen, Golf,2019,29490,290
79526,238809,volkswagen, Golf,2019,26900,300
79540,238826,volkswagen, Golf,2019,26699,290
79544,238830,volkswagen, Golf,2019,18999,116
79547,238833,volkswagen, Golf,2019,17750,116
79550,238836,volkswagen, Golf,2019,22950,116
79551,238837,volkswagen, Golf,2019,15484,116
79572,238860,volkswagen, Golf,2019,18899,116
79577,238866,volkswagen, Golf,2019,21770,290
79580,238870,volkswagen, Golf,2019,18875,116
79581,238872,volkswagen, Golf,2019,32499,290
79582,238873,volkswagen, Golf,2019,18699,131
79585,238878,volkswagen, Golf,2019,29950,290
79586,238879,volkswagen, Golf,2019,17990,150
79644,238941,volkswagen, Golf,2019,22980,150
79646,238944,volkswagen, Golf,2019,18780,131
79649,238947,volkswagen, Golf,2019,26180,245
79652,238950,volkswagen, Golf,2019,27970,184
79657,238956,volkswagen, Golf,2019,26999,150
79667,238967,volkswagen, Golf,2019,17499,116
79668,238968,volkswagen, Golf,2019,19880,150
79671,238971,volkswagen, Golf,2019,27980,340
79672,238972,volkswagen, Golf,2019,31500,245
79675,238975,volkswagen, Golf,2019,32930,300
79678,238980,volkswagen, Golf,2019,24950,245
79685,238987,volkswagen, Golf,2019,26485,290
79695,238998,volkswagen, Golf,2019,19800,150
79696,238999,volkswagen, Golf,2019,32950,300
79697,239000,volkswagen, Golf,2019,32690,290
79698,239001,volkswagen, Golf,2019,34490,300
79701,239004,volkswagen, Golf,2019,25990,245
79705,239008,volkswagen, Golf,2019,25940,245
79723,239028,volkswagen, Golf,2019,28589,245
79727,239032,volkswagen, Golf,2019,21499,150
79733,239038,volkswagen, Golf,2019,26780,245
79737,239042,volkswagen, Golf,2019,18490,116
79741,239047,volkswagen, Golf,2019,16980,131
79742,239048,volkswagen, Golf,2019,13999,116
79745,239052,volkswagen, Golf,2019,17899,116
79747,239055,volkswagen, Golf,2019,25990,245
79749,239057,volkswagen, Golf,2019,24490,245
79752,239061,volkswagen, Golf,2019,20788,131
79755,239064,volkswagen, Golf,2019,20588,131
79757,239067,volkswagen, Golf,2019,25500,245
79758,239068,volkswagen, Golf,2019,19200,116
79767,239077,volkswagen, Golf,2019,16340,116
79768,239078,volkswagen, Golf,2019,18950,150
79777,239087,volkswagen, Golf,2019,31329,290
79778,239088,volkswagen, Golf,2019,20555,131
79781,239091,volkswagen, Golf,2019,24990,184
79784,239094,volkswagen, Golf,2019,20990,116
79788,239098,volkswagen, Golf,2019,16999,116
79789,239099,volkswagen, Golf,2019,21950,184
79794,239104,volkswagen, Golf,2019,17950,116
79795,239105,volkswagen, Golf,2019,24600,245
79803,239113,volkswagen, Golf,2019,19950,150
79808,239118,volkswagen, Golf,2019,21990,131
79811,239121,volkswagen, Golf,2019,24980,184
79812,239123,volkswagen, Golf,2019,19750,131
79815,239126,volkswagen, Golf,2019,18688,131
79819,239130,volkswagen, Golf,2019,22630,150
79820,239131,volkswagen, Golf,2019,19990,131
79821,239132,volkswagen, Golf,2019,14950,116
