,Unnamed: 0,brand,model,year,price_in_euro,power_ps
78771,237968,volkswagen, T-Cross,2019,23930,116
78798,237997,volkswagen, T-Cross,2019,18300,95
78843,238047,volkswagen, T-Cross,2019,23180,116
78861,238066,volkswagen, T-Cross,2019,21489,116
78893,238101,volkswagen, T-Cross,2019,20690,116
78975,238193,volkswagen, T-Cross,2019,22990,116
78988,238208,volkswagen, T-Cross,2019,22980,116
79057,238284,volkswagen, T-Cross,2019,19860,116
79127,238365,volkswagen, T-Cross,2019,17790,95
79134,238372,volkswagen, T-Cross,2019,20980,116
79154,238394,volkswagen, T-Cross,2019,19660,116
79307,238569,volkswagen, T-Cross,2019,21620,116
79352,238617,volkswagen, T-Cross,2019,25900,116
79372,238639,volkswagen, T-Cross,2019,15900,95
79424,238695,volkswagen, T-Cross,2019,22930,116
79455,238729,volkswagen, T-Cross,2019,19800,116
79468,238743,volkswagen, T-Cross,2019,20911,116
79471,238746,volkswagen, T-Cross,2019,23890,116
79541,238827,volkswagen, T-Cross,2019,22900,116
79600,238896,volkswagen, T-Cross,2019,18990,95
79602,238898,volkswagen, T-Cross,2019,22790,116
79603,238899,volkswagen, T-Cross,2019,22950,95
79604,238900,volkswagen, T-Cross,2019,22480,116
79608,238904,volkswagen, T-Cross,2019,18990,95
79610,238906,volkswagen, T-Cross,2019,21979,116
79611,238907,volkswagen, T-Cross,2019,19980,116
79614,238910,volkswagen, T-Cross,2019,24990,116
79623,238919,volkswagen, T-Cross,2019,52730,116
79626,238922,volkswagen, T-Cross,2019,28750,116
79629,238925,volkswagen, T-Cross,2019,34990,116
79639,238935,volkswagen, T-Cross,2019,22900,116
79640,238936,volkswagen, T-Cross,2019,17350,95
79641,238937,volkswagen, T-Cross,2019,17870,95
79643,238940,volkswagen, T-Cross,2019,18458,95
79653,238951,volkswagen, T-Cross,2019,17990,95
79682,238984,volkswagen, T-Cross,2019,15800,95
79684,238986,volkswagen, T-Cross,2019,20550,116
79689,238991,volkswagen, T-Cross,2019,15300,95
79716,239021,volkswagen, T-Cross,2019,15800,95
79780,239090,volkswagen, T-Cross,2019,20350,116
79813,239124,volkswagen, T-Cross,2019,19999,116
79955,239273,volkswagen, T-Cross,2019,21990,116
80025,239345,volkswagen, T-Cross,2019,22495,116
80057,239380,volkswagen, T-Cross,2019,16900,116
80096,239423,volkswagen, T-Cross,2019,20450,116
80101,239428,volkswagen, T-Cross,2019,22490,116
80208,239542,volkswagen, T-Cross,2019,19990,95
80236,239574,volkswagen, T-Cross,2019,17990,95
80289,239634,volkswagen, T-Cross,2019,18800,116
80340,239697,volkswagen, T-Cross,2019,23990,116
80393,239756,volkswagen, T-Cross,2019,19750,116
80606,240005,volkswagen, T-Cross,2019,16790,95
80633,240041,volkswagen, T-Cross,2019,22870,116
80641,240051,volkswagen, T-Cross,2019,17930,95
80650,240063,volkswagen, T-Cross,2019,16490,95
80667,240081,volkswagen, T-Cross,2019,16430,95
80689,240105,volkswagen, T-Cross,2019,18380,95
80707,240124,volkswagen, T-Cross,2019,22940,116
