,Unnamed: 0,brand,model,year,price_in_euro,power_ps
78827,238031,volkswagen, T-Roc,2019,24430,150
78828,238032,volkswagen, T-Roc,2019,24970,150
78847,238051,volkswagen, T-Roc,2019,24630,150
78868,238074,volkswagen, T-Roc,2019,56150,150
78873,238079,volkswagen, T-Roc,2019,23950,190
78875,238081,volkswagen, T-Roc,2019,20990,116
78885,238092,volkswagen, T-Roc,2019,22870,150
78894,238102,volkswagen, T-Roc,2019,20990,116
78897,238106,volkswagen, T-Roc,2019,19900,150
78906,238116,volkswagen, T-Roc,2019,24880,150
78908,238118,volkswagen, T-Roc,2019,18930,116
78910,238120,volkswagen, T-Roc,2019,24980,190
78913,238124,volkswagen, T-Roc,2019,23950,150
78914,238125,volkswagen, T-Roc,2019,25490,150
78915,238126,volkswagen, T-Roc,2019,19480,150
78918,238129,volkswagen, T-Roc,2019,34890,190
78938,238150,volkswagen, T-Roc,2019,27449,190
78942,238154,volkswagen, T-Roc,2019,18750,116
78947,238161,volkswagen, T-Roc,2019,22995,150
78949,238165,volkswagen, T-Roc,2019,23999,150
78953,238169,volkswagen, T-Roc,2019,22650,150
78954,238170,volkswagen, T-Roc,2019,26990,150
78957,238174,volkswagen, T-Roc,2019,25999,150
78958,238175,volkswagen, T-Roc,2019,26000,150
78962,238179,volkswagen, T-Roc,2019,17950,150
78966,238183,volkswagen, T-Roc,2019,19577,116
78982,238201,volkswagen, T-Roc,2019,24999,190
78983,238202,volkswagen, T-Roc,2019,24999,150
78986,238205,volkswagen, T-Roc,2019,26290,150
78991,238211,volkswagen, T-Roc,2019,26450,150
79011,238233,volkswagen, T-Roc,2019,21490,150
79018,238241,volkswagen, T-Roc,2019,20450,150
79019,238242,volkswagen, T-Roc,2019,24980,190
79021,238244,volkswagen, T-Roc,2019,26991,190
79033,238257,volkswagen, T-Roc,2019,23220,150
79038,238263,volkswagen, T-Roc,2019,25499,150
79047,238274,volkswagen, T-Roc,2019,22490,150
79049,238276,volkswagen, T-Roc,2019,21780,116
79052,238279,volkswagen, T-Roc,2019,24880,150
79071,238303,volkswagen, T-Roc,2019,21440,150
79072,238304,volkswagen, T-Roc,2019,19190,116
79073,238305,volkswagen, T-Roc,2019,24980,150
79078,238310,volkswagen, T-Roc,2019,22980,150
79087,238319,volkswagen, T-Roc,2019,24880,116
79093,238326,volkswagen, T-Roc,2019,16995,150
79095,238329,volkswagen, T-Roc,2019,25799,150
79097,238331,volkswagen, T-Roc,2019,26490,150
79106,238342,volkswagen, T-Roc,2019,18830,116
79116,238354,volkswagen, T-Roc,2019,25180,150
79117,238355,volkswagen, T-Roc,2019,27480,190
79124,238362,volkswagen, T-Roc,2019,23849,150
79133,238371,volkswagen, T-Roc,2019,23333,150
79136,238374,volkswagen, T-Roc,2019,24990,150
79140,238379,volkswagen, T-Roc,2019,18796,150
79142,238381,volkswagen, T-Roc,2019,30870,190
79147,238387,volkswagen, T-Roc,2019,31020,150
79149,238389,volkswagen, T-Roc,2019,26690,150
79150,238390,volkswagen, T-Roc,2019,26330,150
79152,238392,volkswagen, T-Roc,2019,25388,150
79153,238393,volkswagen, T-Roc,2019,19900,116
79156,238396,volkswagen, T-Roc,2019,25530,190
79157,238397,volkswagen, T-Roc,2019,24424,150
79159,238399,volkswagen, T-Roc,2019,22770,150
79162,238402,volkswagen, T-Roc,2019,26930,150
79166,238408,volkswagen, T-Roc,2019,20979,116
79167,238409,volkswagen, T-Roc,2019,19980,116
79168,238410,volkswagen, T-Roc,2019,29990,150
79170,238413,volkswagen, T-Roc,2019,24990,150
79171,238415,volkswagen, T-Roc,2019,21990,116
79173,238417,volkswagen, T-Roc,2019,18990,116
79174,238418,volkswagen, T-Roc,2019,22980,116
79179,238423,volkswagen, T-Roc,2019,24280,150
79180,238424,volkswagen, T-Roc,2019,30820,150
79185,238429,volkswagen, T-Roc,2019,27950,190
79188,238432,volkswagen, T-Roc,2019,24888,150
79189,238433,volkswagen, T-Roc,2019,21420,116
79194,238438,volkswagen, T-Roc,2019,22490,150
79195,238439,volkswagen, T-Roc,2019,22700,150
79196,238441,volkswagen, T-Roc,2019,21999,150
79197,238442,volkswagen, T-Roc,2019,24279,150
79198,238443,volkswagen, T-Roc,2019,25670,150
79199,238444,volkswagen, T-Roc,2019,22990,150
79202,238447,volkswagen, T-Roc,2019,26900,150
79203,238448,volkswagen, T-Roc,2019,24990,150
79208,238453,volkswagen, T-Roc,2019,21990,150
79209,238454,volkswagen, T-Roc,2019,24990,150
79210,238455,volkswagen, T-Roc,2019,22880,150
79211,238457,volkswagen, T-Roc,2019,19840,116
79213,238460,volkswagen, T-Roc,2019,20850,150
79215,238462,volkswagen, T-Roc,2019,28350,150
79217,238464,volkswagen, T-Roc,2019,19990,116
79222,238471,volkswagen, T-Roc,2019,23290,150
79223,238472,volkswagen, T-Roc,2019,21698,150
79224,238473,volkswagen, T-Roc,2019,20300,150
79234,238484,volkswagen, T-Roc,2019,19900,116
79239,238489,volkswagen, T-Roc,2019,21190,116
79241,238491,volkswagen, T-Roc,2019,24755,150
79242,238492,volkswagen, T-Roc,2019,28930,150
79244,238494,volkswagen, T-Roc,2019,24555,150
79249,238499,volkswagen, T-Roc,2019,21490,116
79250,238500,volkswagen, T-Roc,2019,26620,150
79251,238501,volkswagen, T-Roc,2019,19450,116
79252,238502,volkswagen, T-Roc,2019,26820,150
79253,238503,volkswagen, T-Roc,2019,20990,116
79260,238515,volkswagen, T-Roc,2019,23900,150
79266,238522,volkswagen, T-Roc,2019,22977,150
79268,238524,volkswagen, T-Roc,2019,21999,116
79269,238525,volkswagen, T-Roc,2019,19980,116
79271,238527,volkswagen, T-Roc,2019,20580,116
79275,238531,volkswagen, T-Roc,2019,23950,116
79276,238532,volkswagen, T-Roc,2019,27990,150
79281,238542,volkswagen, T-Roc,2019,24422,150
79284,238545,volkswagen, T-Roc,2019,18430,116
79289,238550,volkswagen, T-Roc,2019,24990,150
79298,238560,volkswagen, T-Roc,2019,24555,150
79300,238562,volkswagen, T-Roc,2019,25990,190
79308,238570,volkswagen, T-Roc,2019,24990,150
79325,238589,volkswagen, T-Roc,2019,24900,150
79331,238595,volkswagen, T-Roc,2019,18149,116
79333,238597,volkswagen, T-Roc,2019,21990,150
79337,238601,volkswagen, T-Roc,2019,19930,116
79339,238603,volkswagen, T-Roc,2019,20590,116
79345,238609,volkswagen, T-Roc,2019,29889,190
79359,238624,volkswagen, T-Roc,2019,29970,116
79369,238636,volkswagen, T-Roc,2019,17880,116
79370,238637,volkswagen, T-Roc,2019,19470,150
79383,238651,volkswagen, T-Roc,2019,19490,116
79399,238668,volkswagen, T-Roc,2019,26189,150
79427,238699,volkswagen, T-Roc,2019,27850,116
79430,238702,volkswagen, T-Roc,2019,23900,150
79447,238721,volkswagen, T-Roc,2019,23590,150
79448,238722,volkswagen, T-Roc,2019,19940,116
79458,238732,volkswagen, T-Roc,2019,27995,190
79462,238736,volkswagen, T-Roc,2019,17430,116
79483,238760,volkswagen, T-Roc,2019,23210,150
79496,238775,volkswagen, T-Roc,2019,23890,150
79503,238784,volkswagen, T-Roc,2019,24800,150
79524,238807,volkswagen, T-Roc,2019,23499,150
79537,238823,volkswagen, T-Roc,2019,23990,150
79566,238853,volkswagen, T-Roc,2019,18900,150
79570,238858,volkswagen, T-Roc,2019,22990,150
79573,238861,volkswagen, T-Roc,2019,20499,150
79579,238869,volkswagen, T-Roc,2019,18490,116
79583,238875,volkswagen, T-Roc,2019,19975,116
79647,238945,volkswagen, T-Roc,2019,22975,150
79651,238949,volkswagen, T-Roc,2019,21690,150
79655,238953,volkswagen, T-Roc,2019,22490,150
79683,238985,volkswagen, T-Roc,2019,20177,116
79691,238994,volkswagen, T-Roc,2019,15960,116
79692,238995,volkswagen, T-Roc,2019,19900,116
79712,239017,volkswagen, T-Roc,2019,24250,150
79713,239018,volkswagen, T-Roc,2019,23240,150
79714,239019,volkswagen, T-Roc,2019,20555,150
79728,239033,volkswagen, T-Roc,2019,22500,150
79731,239036,volkswagen, T-Roc,2019,24980,150
79735,239040,volkswagen, T-Roc,2019,22250,150
79736,239041,volkswagen, T-Roc,2019,18990,116
79740,239046,volkswagen, T-Roc,2019,19990,116
79753,239062,volkswagen, T-Roc,2019,25490,150
79770,239080,volkswagen, T-Roc,2019,20860,116
79772,239082,volkswagen, T-Roc,2019,22288,116
79773,239083,volkswagen, T-Roc,2019,18950,116
79792,239102,volkswagen, T-Roc,2019,23490,150
79798,239108,volkswagen, T-Roc,2019,27380,190
79800,239110,volkswagen, T-Roc,2019,20290,116
79809,239119,volkswagen, T-Roc,2019,19990,116
79810,239120,volkswagen, T-Roc,2019,26900,150
79817,239128,volkswagen, T-Roc,2019,27390,150
79863,239178,volkswagen, T-Roc,2019,23689,116
79876,239191,volkswagen, T-Roc,2019,22740,150
79878,239193,volkswagen, T-Roc,2019,26500,150
79880,239195,volkswagen, T-Roc,2019,22990,150
79885,239200,volkswagen, T-Roc,2019,19980,116
79888,239203,volkswagen, T-Roc,2019,25490,150
79913,239231,volkswagen, T-Roc,2019,24988,150
79914,239232,volkswagen, T-Roc,2019,25930,150
79915,239233,volkswagen, T-Roc,2019,22590,150
79918,239236,volkswagen, T-Roc,2019,57990,150
79943,239261,volkswagen, T-Roc,2019,23430,150
79959,239277,volkswagen, T-Roc,2019,25990,150
79961,239279,volkswagen, T-Roc,2019,22170,150
79966,239284,volkswagen, T-Roc,2019,27190,190
79972,239290,volkswagen, T-Roc,2019,26980,150
79973,239291,volkswagen, T-Roc,2019,24950,150
79982,239301,volkswagen, T-Roc,2019,18710,116
79989,239308,volkswagen, T-Roc,2019,21990,116
79993,239312,volkswagen, T-Roc,2019,21790,150
80008,239328,volkswagen, T-Roc,2019,74884,116
80023,239343,volkswagen, T-Roc,2019,23990,150
80036,239357,volkswagen, T-Roc,2019,18430,116
80038,239359,volkswagen, T-Roc,2019,26485,190
80051,239374,volkswagen, T-Roc,2019,18350,116
80102,239429,volkswagen, T-Roc,2019,31900,150
80108,239435,volkswagen, T-Roc,2019,45900,150
80159,239488,volkswagen, T-Roc,2019,20979,116
80175,239507,volkswagen, T-Roc,2019,19889,116
80211,239545,volkswagen, T-Roc,2019,23990,150
80232,239570,volkswagen, T-Roc,2019,18990,116
80238,239577,volkswagen, T-Roc,2019,23580,150
80251,239590,volkswagen, T-Roc,2019,20490,116
80264,239606,volkswagen, T-Roc,2019,22900,150
80348,239706,volkswagen, T-Roc,2019,24990,150
80371,239732,volkswagen, T-Roc,2019,22900,150
80409,239774,volkswagen, T-Roc,2019,21400,116
80418,239785,volkswagen, T-Roc,2019,20998,116
80421,239789,volkswagen, T-Roc,2019,27850,190
80448,239820,volkswagen, T-Roc,2019,20990,116
80461,239835,volkswagen, T-Roc,2019,23999,150
80508,239892,volkswagen, T-Roc,2019,26990,190
80510,239895,volkswagen, T-Roc,2019,20900,150
80524,239912,volkswagen, T-Roc,2019,18950,190
80551,239945,volkswagen, T-Roc,2019,27490,190
80567,239963,volkswagen, T-Roc,2019,26480,150
80577,239974,volkswagen, T-Roc,2019,19790,116
80588,239986,volkswagen, T-Roc,2019,21851,116
80598,239996,volkswagen, T-Roc,2019,20660,150
80610,240009,volkswagen, T-Roc,2019,13495,116
80629,240036,volkswagen, T-Roc,2019,28950,150
80634,240042,volkswagen, T-Roc,2019,25899,150
80651,240064,volkswagen, T-Roc,2019,21300,116
