,Unnamed: 0,brand,model,year,price_in_euro,power_ps
78745,237939,volkswagen, Tiguan,2019,26930,150
78748,237942,volkswagen, Tiguan,2019,23220,150
78761,237957,volkswagen, Tiguan,2019,23939,150
78763,237959,volkswagen, Tiguan,2019,29930,150
78765,237962,volkswagen, Tiguan,2019,34990,190
78772,237969,volkswagen, Tiguan,2019,26899,150
78773,237970,volkswagen, Tiguan,2019,24000,150
78776,237974,volkswagen, Tiguan,2019,23280,150
78777,237975,volkswagen, Tiguan,2019,24477,150
78778,237976,volkswagen, Tiguan,2019,29000,150
78780,237978,volkswagen, Tiguan,2019,22889,150
78783,237981,volkswagen, Tiguan,2019,26980,150
78787,237985,volkswagen, Tiguan,2019,31860,230
78789,237987,volkswagen, Tiguan,2019,26800,190
78792,237991,volkswagen, Tiguan,2019,29450,190
78794,237993,volkswagen, Tiguan,2019,31000,150
78809,238008,volkswagen, Tiguan,2019,24940,150
78819,238020,volkswagen, Tiguan,2019,26950,150
78826,238030,volkswagen, Tiguan,2019,31890,230
78834,238038,volkswagen, Tiguan,2019,24950,131
78841,238045,volkswagen, Tiguan,2019,25950,150
78848,238052,volkswagen, Tiguan,2019,24900,190
78852,238056,volkswagen, Tiguan,2019,25595,150
78882,238089,volkswagen, Tiguan,2019,33990,220
78884,238091,volkswagen, Tiguan,2019,29940,190
78900,238109,volkswagen, Tiguan,2019,14420,190
78917,238128,volkswagen, Tiguan,2019,36499,190
78931,238142,volkswagen, Tiguan,2019,24960,150
78934,238146,volkswagen, Tiguan,2019,23930,131
78937,238149,volkswagen, Tiguan,2019,31000,150
78948,238162,volkswagen, Tiguan,2019,26490,190
78973,238191,volkswagen, Tiguan,2019,25950,150
78994,238215,volkswagen, Tiguan,2019,22990,150
78997,238218,volkswagen, Tiguan,2019,29900,190
79020,238243,volkswagen, Tiguan,2019,31880,239
79024,238248,volkswagen, Tiguan,2019,27499,150
79029,238253,volkswagen, Tiguan,2019,26850,190
79045,238272,volkswagen, Tiguan,2019,29991,190
79046,238273,volkswagen, Tiguan,2019,29590,190
79054,238281,volkswagen, Tiguan,2019,29490,190
79089,238321,volkswagen, Tiguan,2019,30990,150
79110,238346,volkswagen, Tiguan,2019,22980,150
79115,238353,volkswagen, Tiguan,2019,25395,150
79290,238551,volkswagen, Tiguan,2019,24490,150
79294,238556,volkswagen, Tiguan,2019,28191,190
79301,238563,volkswagen, Tiguan,2019,24880,150
79306,238568,volkswagen, Tiguan,2019,32990,190
79316,238580,volkswagen, Tiguan,2019,28390,190
79317,238581,volkswagen, Tiguan,2019,31480,190
79318,238582,volkswagen, Tiguan,2019,26180,150
79322,238586,volkswagen, Tiguan,2019,29191,190
79323,238587,volkswagen, Tiguan,2019,28970,190
79324,238588,volkswagen, Tiguan,2019,28430,150
79328,238592,volkswagen, Tiguan,2019,26960,150
79334,238598,volkswagen, Tiguan,2019,28990,190
79360,238625,volkswagen, Tiguan,2019,20280,190
79362,238627,volkswagen, Tiguan,2019,43990,150
79371,238638,volkswagen, Tiguan,2019,27430,190
79375,238642,volkswagen, Tiguan,2019,24430,150
79384,238652,volkswagen, Tiguan,2019,26790,190
79386,238654,volkswagen, Tiguan,2019,16430,150
79388,238656,volkswagen, Tiguan,2019,19475,230
79411,238681,volkswagen, Tiguan,2019,26075,150
79446,238720,volkswagen, Tiguan,2019,33880,150
79450,238724,volkswagen, Tiguan,2019,27988,150
79456,238730,volkswagen, Tiguan,2019,25080,150
79463,238737,volkswagen, Tiguan,2019,28140,190
79464,238738,volkswagen, Tiguan,2019,33989,190
79466,238741,volkswagen, Tiguan,2019,37550,230
79473,238748,volkswagen, Tiguan,2019,30890,190
79476,238753,volkswagen, Tiguan,2019,34990,150
79484,238761,volkswagen, Tiguan,2019,27990,190
79501,238782,volkswagen, Tiguan,2019,26890,190
79506,238788,volkswagen, Tiguan,2019,26930,150
79519,238802,volkswagen, Tiguan,2019,23490,150
79522,238805,volkswagen, Tiguan,2019,39990,239
79527,238810,volkswagen, Tiguan,2019,29500,190
79535,238821,volkswagen, Tiguan,2019,24985,150
79546,238832,volkswagen, Tiguan,2019,27499,150
79554,238840,volkswagen, Tiguan,2019,29980,150
79555,238841,volkswagen, Tiguan,2019,26450,150
79565,238852,volkswagen, Tiguan,2019,24975,150
79567,238854,volkswagen, Tiguan,2019,26290,190
79601,238897,volkswagen, Tiguan,2019,31800,190
79616,238912,volkswagen, Tiguan,2019,29650,190
79619,238915,volkswagen, Tiguan,2019,38950,220
79628,238924,volkswagen, Tiguan,2019,20850,150
79634,238930,volkswagen, Tiguan,2019,27990,150
79636,238932,volkswagen, Tiguan,2019,28490,190
79638,238934,volkswagen, Tiguan,2019,33560,190
79650,238948,volkswagen, Tiguan,2019,26588,131
79656,238954,volkswagen, Tiguan,2019,23960,150
79686,238988,volkswagen, Tiguan,2019,30930,190
79688,238990,volkswagen, Tiguan,2019,26900,190
79690,238992,volkswagen, Tiguan,2019,26788,131
79693,238996,volkswagen, Tiguan,2019,25990,239
79703,239006,volkswagen, Tiguan,2019,26522,150
79707,239010,volkswagen, Tiguan,2019,26890,190
79711,239016,volkswagen, Tiguan,2019,26788,131
79718,239023,volkswagen, Tiguan,2019,27590,150
79720,239025,volkswagen, Tiguan,2019,22900,150
79734,239039,volkswagen, Tiguan,2019,25490,150
79762,239072,volkswagen, Tiguan,2019,28750,150
79765,239075,volkswagen, Tiguan,2019,19990,150
79776,239086,volkswagen, Tiguan,2019,24480,150
79779,239089,volkswagen, Tiguan,2019,26588,131
79791,239101,volkswagen, Tiguan,2019,26588,131
79807,239117,volkswagen, Tiguan,2019,25990,190
79848,239163,volkswagen, Tiguan,2019,26788,131
79864,239179,volkswagen, Tiguan,2019,23490,150
79900,239217,volkswagen, Tiguan,2019,22999,131
79905,239222,volkswagen, Tiguan,2019,27999,190
79907,239225,volkswagen, Tiguan,2019,26680,150
79908,239226,volkswagen, Tiguan,2019,26588,131
79932,239250,volkswagen, Tiguan,2019,28289,190
79934,239252,volkswagen, Tiguan,2019,27980,150
79938,239256,volkswagen, Tiguan,2019,19889,150
79942,239260,volkswagen, Tiguan,2019,26750,150
79947,239265,volkswagen, Tiguan,2019,26588,131
79970,239288,volkswagen, Tiguan,2019,26660,150
79984,239303,volkswagen, Tiguan,2019,24950,131
79988,239307,volkswagen, Tiguan,2019,33949,190
79995,239315,volkswagen, Tiguan,2019,29990,190
80003,239323,volkswagen, Tiguan,2019,21990,150
80011,239331,volkswagen, Tiguan,2019,18150,239
80013,239333,volkswagen, Tiguan,2019,18230,150
80016,239336,volkswagen, Tiguan,2019,16980,150
80027,239347,volkswagen, Tiguan,2019,26390,190
80030,239350,volkswagen, Tiguan,2019,23890,150
80055,239378,volkswagen, Tiguan,2019,28790,150
80065,239389,volkswagen, Tiguan,2019,33999,190
80066,239390,volkswagen, Tiguan,2019,25200,150
80074,239400,volkswagen, Tiguan,2019,27475,150
80083,239409,volkswagen, Tiguan,2019,29990,239
80085,239411,volkswagen, Tiguan,2019,35990,220
80086,239412,volkswagen, Tiguan,2019,26290,190
80097,239424,volkswagen, Tiguan,2019,30990,239
80118,239447,volkswagen, Tiguan,2019,26950,150
80133,239462,volkswagen, Tiguan,2019,25650,220
80137,239466,volkswagen, Tiguan,2019,29180,150
80148,239477,volkswagen, Tiguan,2019,25660,150
80154,239483,volkswagen, Tiguan,2019,24995,150
80156,239485,volkswagen, Tiguan,2019,32980,150
80163,239493,volkswagen, Tiguan,2019,22995,150
80167,239497,volkswagen, Tiguan,2019,33940,190
80173,239505,volkswagen, Tiguan,2019,23990,150
80193,239527,volkswagen, Tiguan,2019,22650,150
80197,239531,volkswagen, Tiguan,2019,29930,150
80205,239539,volkswagen, Tiguan,2019,24470,150
80221,239558,volkswagen, Tiguan,2019,30980,190
80227,239565,volkswagen, Tiguan,2019,29980,150
80243,239582,volkswagen, Tiguan,2019,24990,150
80252,239591,volkswagen, Tiguan,2019,33999,190
80255,239596,volkswagen, Tiguan,2019,24990,150
80285,239629,volkswagen, Tiguan,2019,31990,230
80297,239646,volkswagen, Tiguan,2019,26490,150
80299,239648,volkswagen, Tiguan,2019,27390,190
80303,239652,volkswagen, Tiguan,2019,23077,150
