,Unnamed: 0,brand,year,price_in_euro,power_ps
59209,181533,seat,2019,16990,95
59210,181535,seat,2019,12100,60
59211,181536,seat,2019,19999,116
59212,181537,seat,2019,14380,116
59213,181538,seat,2019,13990,116
59214,181539,seat,2019,17330,150
59215,181540,seat,2019,27490,150
59216,181541,seat,2019,12680,95
59217,181542,seat,2019,24880,184
59218,181543,seat,2019,23880,184
59219,181544,seat,2019,13680,95
59220,181545,seat,2019,18490,131
59221,181546,seat,2019,14980,95
59222,181547,seat,2019,14980,95
59223,181548,seat,2019,23680,190
59224,181549,seat,2019,21990,150
59225,181550,seat,2019,17980,131
59226,181551,seat,2019,13380,80
59227,181552,seat,2019,14680,95
59228,181553,seat,2019,11450,80
59229,181554,seat,2019,19980,116
59230,181555,seat,2019,21790,150
59231,181556,seat,2019,10940,80
59232,181557,seat,2019,13750,75
59233,181558,seat,2019,11900,60
59234,181559,seat,2019,12470,116
59235,181560,seat,2019,32900,150
59236,181561,seat,2019,26990,150
59237,181562,seat,2019,19790,131
59238,181564,seat,2019,13990,80
59239,181565,seat,2019,11700,60
59240,181566,seat,2019,19990,150
59241,181567,seat,2019,15000,116
59242,181568,seat,2019,15500,116
59243,181569,seat,2019,17950,150
59244,181570,seat,2019,20650,150
59245,181571,seat,2019,17100,116
59246,181572,seat,2019,15790,131
59247,181573,seat,2019,18900,150
59248,181574,seat,2019,36990,190
59249,181575,seat,2019,17990,131
59250,181576,seat,2019,18370,131
59251,181577,seat,2019,16850,116
59252,181578,seat,2019,23980,150
59253,181580,seat,2019,16950,95
59254,181581,seat,2019,16880,150
59255,181582,seat,2019,26990,150
59256,181584,seat,2019,23450,150
59257,181585,seat,2019,21470,190
59258,181586,seat,2019,13550,86
59259,181587,seat,2019,30950,150
59260,181588,seat,2019,23880,190
59261,181589,seat,2019,22480,150
59262,181590,seat,2019,22000,150
59263,181591,seat,2019,19480,116
59264,181592,seat,2019,22450,150
59265,181593,seat,2019,18980,116
59266,181594,seat,2019,17680,116
59267,181595,seat,2019,26333,290
59268,181597,seat,2019,34690,190
59269,181598,seat,2019,26790,190
59270,181599,seat,2019,13890,95
59271,181600,seat,2019,14980,116
59272,181602,seat,2019,23790,150
59273,181603,seat,2019,15990,95
59274,181604,seat,2019,17498,131
59275,181605,seat,2019,27980,150
59276,181606,seat,2019,35499,190
59277,181607,seat,2019,21250,190
59278,181608,seat,2019,18890,150
59279,181609,seat,2019,21980,190
59280,181610,seat,2019,15950,116
59281,181611,seat,2019,19990,190
59282,181612,seat,2019,26430,116
59283,181613,seat,2019,18500,116
59284,181614,seat,2019,19480,116
59285,181615,seat,2019,23600,190
59286,181616,seat,2019,21800,150
59287,181618,seat,2019,22980,150
59288,181619,seat,2019,30980,300
59289,181620,seat,2019,23840,190
59290,181621,seat,2019,18995,116
59291,181622,seat,2019,22500,150
59292,181623,seat,2019,22444,190
59293,181624,seat,2019,19770,116
59294,181625,seat,2019,28940,190
