,Unnamed: 0,brand,year,price_in_euro,power_ps
66204,195302,skoda,2019,20900,150
66205,195303,skoda,2019,14870,110
66206,195305,skoda,2019,18180,150
66207,195306,skoda,2019,14420,150
66208,195307,skoda,2019,13980,95
66209,195308,skoda,2019,14450,75
66210,195309,skoda,2019,11690,60
66211,195310,skoda,2019,13990,110
66212,195311,skoda,2019,18990,116
66213,195313,skoda,2019,16999,110
66214,195314,skoda,2019,33900,190
66215,195315,skoda,2019,16699,95
66216,195316,skoda,2019,19980,116
66217,195317,skoda,2019,15479,150
66218,195318,skoda,2019,23990,190
66219,195319,skoda,2019,15990,110
66220,195320,skoda,2019,22490,150
66221,195321,skoda,2019,14990,95
66222,195322,skoda,2019,22490,150
66223,195323,skoda,2019,17550,110
66224,195325,skoda,2019,21649,184
66225,195326,skoda,2019,23980,150
66226,195327,skoda,2019,22689,150
66227,195328,skoda,2019,23480,150
66228,195329,skoda,2019,29450,190
66229,195330,skoda,2019,36500,239
66230,195331,skoda,2019,15950,150
66231,195332,skoda,2019,33990,272
66232,195333,skoda,2019,28990,190
66233,195334,skoda,2019,16950,150
66234,195336,skoda,2019,21950,184
66235,195337,skoda,2019,15990,116
66236,195338,skoda,2019,20480,190
66237,195339,skoda,2019,25995,190
66238,195340,skoda,2019,11500,75
66239,195341,skoda,2019,21450,150
66240,195342,skoda,2019,25990,150
66241,195343,skoda,2019,33940,190
66242,195345,skoda,2019,19900,116
66243,195346,skoda,2019,26990,190
66244,195347,skoda,2019,24900,150
66245,195348,skoda,2019,20880,150
66246,195349,skoda,2019,21000,150
66247,195350,skoda,2019,17120,116
66248,195351,skoda,2019,18999,116
66249,195352,skoda,2019,31300,150
66250,195353,skoda,2019,13499,95
66251,195354,skoda,2019,19600,150
66252,195355,skoda,2019,15930,116
66253,195356,skoda,2019,24990,150
66254,195357,skoda,2019,18900,116
66255,195358,skoda,2019,15990,116
66256,195359,skoda,2019,23590,272
66257,195360,skoda,2019,18200,116
66258,195361,skoda,2019,27999,190
66259,195364,skoda,2019,15990,110
66260,195365,skoda,2019,31990,272
66261,195366,skoda,2019,34900,239
66262,195367,skoda,2019,24560,190
66263,195368,skoda,2019,22480,150
66264,195369,skoda,2019,25749,184
66265,195370,skoda,2019,37970,239
66266,195371,skoda,2019,31990,190
66267,195372,skoda,2019,39950,239
66268,195373,skoda,2019,38700,239
66269,195374,skoda,2019,22470,190
66270,195375,skoda,2019,14975,116
66271,195376,skoda,2019,28489,245
66272,195377,skoda,2019,24489,190
66273,195378,skoda,2019,21950,150
66274,195379,skoda,2019,30139,150
66275,195380,skoda,2019,26088,150
66276,195381,skoda,2019,20490,116
66277,195382,skoda,2019,21316,150
66278,195383,skoda,2019,14950,110
66279,195384,skoda,2019,27600,150
66280,195386,skoda,2019,10500,75
66281,195387,skoda,2019,24400,150
66282,195388,skoda,2019,31785,190
66283,195389,skoda,2019,13900,95
66284,195390,skoda,2019,24900,150
66285,195391,skoda,2019,13990,110
66286,195392,skoda,2019,13490,60
66287,195393,skoda,2019,28990,150
66288,195394,skoda,2019,11999,60
66289,195395,skoda,2019,16500,110
66290,195396,skoda,2019,16990,116
66291,195397,skoda,2019,38500,239
66292,195398,skoda,2019,14990,110
66293,195399,skoda,2019,20499,116
66294,195402,skoda,2019,23950,190
66295,195403,skoda,2019,18900,150
66296,195404,skoda,2019,12450,75
66297,195405,skoda,2019,17649,150
66298,195406,skoda,2019,11880,60
66299,195407,skoda,2019,22980,150
66300,195409,skoda,2019,22900,239
66301,195410,skoda,2019,22690,150
66302,195411,skoda,2019,25888,190
66303,195412,skoda,2019,22740,150
66304,195414,skoda,2019,20500,190
66305,195415,skoda,2019,29990,116
66306,195416,skoda,2019,22340,190
66307,195417,skoda,2019,28950,150
66308,195418,skoda,2019,20850,184
66309,195419,skoda,2019,16900,150
66310,195420,skoda,2019,14810,110
66311,195421,skoda,2019,30688,190
66312,195422,skoda,2019,22816,150
66313,195423,skoda,2019,20990,150
66314,195424,skoda,2019,28840,245
66315,195425,skoda,2019,21666,150
66316,195426,skoda,2019,35430,190
66317,195427,skoda,2019,19950,116
66318,195428,skoda,2019,26800,150
66319,195429,skoda,2019,30990,272
66320,195430,skoda,2019,25970,190
66321,195431,skoda,2019,26990,150
66322,195432,skoda,2019,17499,150
66323,195433,skoda,2019,21990,150
66324,195434,skoda,2019,17990,150
66325,195435,skoda,2019,30688,190
66326,195436,skoda,2019,15900,150
66327,195437,skoda,2019,10880,75
66328,195438,skoda,2019,30890,190
66329,195439,skoda,2019,18480,150
66330,195440,skoda,2019,17400,150
66331,195441,skoda,2019,17990,150
66332,195442,skoda,2019,29450,150
66333,195443,skoda,2019,27990,190
66334,195444,skoda,2019,21950,190
66335,195445,skoda,2019,16990,150
66336,195446,skoda,2019,14390,95
66337,195447,skoda,2019,22990,116
66338,195448,skoda,2019,24970,150
66339,195449,skoda,2019,18350,150
66340,195450,skoda,2019,13980,116
66341,195451,skoda,2019,20950,95
66342,195452,skoda,2019,24970,150
66343,195453,skoda,2019,19900,150
66344,195455,skoda,2019,19980,95
66345,195456,skoda,2019,21990,116
66346,195457,skoda,2019,30688,150
66347,195458,skoda,2019,23990,190
66348,195459,skoda,2019,27990,150
66349,195460,skoda,2019,24310,190
66350,195461,skoda,2019,23290,150
66351,195462,skoda,2019,28485,245
66352,195463,skoda,2019,19954,116
66353,195464,skoda,2019,39550,239
66354,195465,skoda,2019,36890,239
66355,195466,skoda,2019,23900,150
66356,195467,skoda,2019,18790,150
66357,195468,skoda,2019,27900,184
66358,195469,skoda,2019,19990,150
66359,195470,skoda,2019,24900,150
66360,195471,skoda,2019,19450,150
66361,195472,skoda,2019,32830,190
66362,195473,skoda,2019,19800,150
66363,195474,skoda,2019,20280,150
66364,195475,skoda,2019,26980,184
66365,195477,skoda,2019,14450,110
66366,195478,skoda,2019,30688,190
66367,195479,skoda,2019,23950,150
66368,195480,skoda,2019,28990,245
66369,195482,skoda,2019,38900,239
66370,195483,skoda,2019,29970,272
66371,195484,skoda,2019,30890,190
66372,195485,skoda,2019,26666,150
66373,195486,skoda,2019,25980,190
66374,195487,skoda,2019,39990,239
66375,195489,skoda,2019,19990,150
66376,195490,skoda,2019,8870,60
66377,195491,skoda,2019,29950,190
66378,195492,skoda,2019,38690,239
66379,195493,skoda,2019,17430,116
66380,195494,skoda,2019,16299,150
66381,195495,skoda,2019,14480,116
66382,195496,skoda,2019,30688,190
66383,195497,skoda,2019,17480,150
66384,195498,skoda,2019,23950,190
66385,195499,skoda,2019,14480,110
66386,195500,skoda,2019,14950,116
66387,195501,skoda,2019,19990,116
66388,195502,skoda,2019,16410,116
66389,195503,skoda,2019,23800,190
66390,195504,skoda,2019,37490,239
66391,195505,skoda,2019,37490,239
66392,195506,skoda,2019,31497,150
66393,195509,skoda,2019,23780,245
66394,195511,skoda,2019,20888,116
66395,195512,skoda,2019,16170,116
66396,195513,skoda,2019,12960,95
66397,195514,skoda,2019,19890,116
66398,195515,skoda,2019,27580,184
66399,195518,skoda,2019,40780,239
66400,195519,skoda,2019,30950,150
66401,195520,skoda,2019,17980,150
66402,195523,skoda,2019,12650,75
66403,195524,skoda,2019,21990,150
66404,195525,skoda,2019,29650,190
66405,195526,skoda,2019,14990,110
66406,195528,skoda,2019,20400,116
66407,195529,skoda,2019,19950,150
66408,195530,skoda,2019,23980,150
66409,195531,skoda,2019,32980,150
66410,195532,skoda,2019,20700,116
66411,195533,skoda,2019,21990,150
66412,195534,skoda,2019,20995,150
66413,195535,skoda,2019,23870,150
66414,195536,skoda,2019,23990,150
66415,195537,skoda,2019,23489,150
66416,195538,skoda,2019,10990,60
66417,195539,skoda,2019,20990,190
66418,195540,skoda,2019,20817,245
66419,195542,skoda,2019,20990,190
66420,195543,skoda,2019,34390,190
66421,195544,skoda,2019,15999,110
66422,195545,skoda,2019,18590,116
66423,195546,skoda,2019,35570,190
66424,195547,skoda,2019,24558,190
66425,195548,skoda,2019,29480,190
66426,195549,skoda,2019,12450,95
66427,195550,skoda,2019,21000,150
66428,195551,skoda,2019,24749,184
66429,195552,skoda,2019,25790,150
66430,195553,skoda,2019,16975,150
66431,195554,skoda,2019,13998,95
66432,195555,skoda,2019,15970,116
66433,195556,skoda,2019,20990,150
66434,195557,skoda,2019,25590,190
66435,195558,skoda,2019,19380,150
66436,195559,skoda,2019,24990,150
66437,195560,skoda,2019,15995,116
66438,195561,skoda,2019,27930,150
66439,195562,skoda,2019,17660,150
66440,195563,skoda,2019,13300,116
66441,195565,skoda,2019,26600,150
66442,195566,skoda,2019,17950,116
66443,195567,skoda,2019,14200,110
66444,195568,skoda,2019,39850,239
66445,195569,skoda,2019,21990,184
66446,195570,skoda,2019,26500,150
66447,195571,skoda,2019,32490,239
66448,195572,skoda,2019,21950,150
66449,195574,skoda,2019,22590,150
66450,195575,skoda,2019,17660,150
66451,195576,skoda,2019,18900,150
66452,195577,skoda,2019,15980,95
66453,195578,skoda,2019,25990,190
66454,195579,skoda,2019,19150,95
66455,195581,skoda,2019,21249,116
66456,195582,skoda,2019,26150,190
66457,195583,skoda,2019,18990,150
