,Unnamed: 0,brand,year,price_in_euro,power_ps
78745,237939,volkswagen,2019,26930,150
78746,237940,volkswagen,2019,28220,116
78747,237941,volkswagen,2019,19890,131
78748,237942,volkswagen,2019,23220,150
78749,237944,volkswagen,2019,44545,150
78750,237945,volkswagen,2019,31500,150
78751,237946,volkswagen,2019,22777,150
78752,237947,volkswagen,2019,47990,199
78753,237948,volkswagen,2019,62888,199
78754,237949,volkswagen,2019,28890,190
78755,237950,volkswagen,2019,28758,204
78756,237951,volkswagen,2019,25480,102
78757,237952,volkswagen,2019,29890,150
78758,237953,volkswagen,2019,27990,150
78759,237954,volkswagen,2019,54900,150
78760,237955,volkswagen,2019,24480,102
78761,237957,volkswagen,2019,23939,150
78762,237958,volkswagen,2019,56990,199
78763,237959,volkswagen,2019,29930,150
78764,237961,volkswagen,2019,15880,95
78765,237962,volkswagen,2019,34990,190
78766,237963,volkswagen,2019,39900,150
78767,237964,volkswagen,2019,28690,150
78768,237965,volkswagen,2019,12990,75
78769,237966,volkswagen,2019,53970,199
78770,237967,volkswagen,2019,19449,116
78771,237968,volkswagen,2019,23930,116
78772,237969,volkswagen,2019,26899,150
78773,237970,volkswagen,2019,24000,150
78774,237972,volkswagen,2019,46750,258
78775,237973,volkswagen,2019,23849,102
78776,237974,volkswagen,2019,23280,150
78777,237975,volkswagen,2019,24477,150
78778,237976,volkswagen,2019,29000,150
78779,237977,volkswagen,2019,34690,150
78780,237978,volkswagen,2019,22889,150
78781,237979,volkswagen,2019,26940,204
78782,237980,volkswagen,2019,28222,116
78783,237981,volkswagen,2019,26980,150
78784,237982,volkswagen,2019,38990,204
78785,237983,volkswagen,2019,19040,150
78786,237984,volkswagen,2019,51000,150
78787,237985,volkswagen,2019,31860,230
78788,237986,volkswagen,2019,44000,199
78789,237987,volkswagen,2019,26800,190
78790,237989,volkswagen,2019,53904,199
78791,237990,volkswagen,2019,17500,116
78792,237991,volkswagen,2019,29450,190
78793,237992,volkswagen,2019,39980,204
78794,237993,volkswagen,2019,31000,150
78795,237994,volkswagen,2019,39440,199
78796,237995,volkswagen,2019,56900,199
78797,237996,volkswagen,2019,18990,150
78798,237997,volkswagen,2019,18300,95
78799,237998,volkswagen,2019,48330,95
78800,237999,volkswagen,2019,46990,199
78801,238000,volkswagen,2019,48930,199
78802,238001,volkswagen,2019,54990,199
78803,238002,volkswagen,2019,63110,199
78804,238003,volkswagen,2019,64900,199
78805,238004,volkswagen,2019,62590,199
78806,238005,volkswagen,2019,63900,199
78807,238006,volkswagen,2019,42250,150
78808,238007,volkswagen,2019,30170,150
78809,238008,volkswagen,2019,24940,150
78810,238009,volkswagen,2019,58900,199
78811,238010,volkswagen,2019,21950,150
78812,238011,volkswagen,2019,27990,150
78813,238012,volkswagen,2019,24990,150
78814,238013,volkswagen,2019,23650,116
78815,238014,volkswagen,2019,41300,150
78816,238015,volkswagen,2019,62910,199
78817,238016,volkswagen,2019,25360,150
78818,238017,volkswagen,2019,45000,199
78819,238020,volkswagen,2019,26950,150
78820,238021,volkswagen,2019,53788,286
78821,238022,volkswagen,2019,34750,300
78822,238024,volkswagen,2019,18880,102
