,Unnamed: 0,brand,model,year,price_in_euro,power_ps
78745,237939,volkswagen, Tiguan,2019,26930,150
78747,237941,volkswagen, Golf,2019,19890,131
78748,237942,volkswagen, Tiguan,2019,23220,150
78750,237945,volkswagen, Caddy,2019,31500,150
78756,237951,volkswagen, Caddy,2019,25480,102
78757,237952,volkswagen, Caddy,2019,29890,150
78760,237955,volkswagen, Caddy,2019,24480,102
78761,237957,volkswagen, Tiguan,2019,23939,150
78763,237959,volkswagen, Tiguan,2019,29930,150
78765,237962,volkswagen, Tiguan,2019,34990,190
78771,237968,volkswagen, T-Cross,2019,23930,116
78772,237969,volkswagen, Tiguan,2019,26899,150
78773,237970,volkswagen, Tiguan,2019,24000,150
78775,237973,volkswagen, Caddy,2019,23849,102
78776,237974,volkswagen, Tiguan,2019,23280,150
78777,237975,volkswagen, Tiguan,2019,24477,150
78778,237976,volkswagen, Tiguan,2019,29000,150
78780,237978,volkswagen, Tiguan,2019,22889,150
78783,237981,volkswagen, Tiguan,2019,26980,150
78787,237985,volkswagen, Tiguan,2019,31860,230
78789,237987,volkswagen, Tiguan,2019,26800,190
78792,237991,volkswagen, Tiguan,2019,29450,190
78794,237993,volkswagen, Tiguan,2019,31000,150
78798,237997,volkswagen, T-Cross,2019,18300,95
78809,238008,volkswagen, Tiguan,2019,24940,150
78819,238020,volkswagen, Tiguan,2019,26950,150
78821,238022,volkswagen, Golf,2019,34750,300
78822,238024,volkswagen, Caddy,2019,18880,102
78826,238030,volkswagen, Tiguan,2019,31890,230
78827,238031,volkswagen, T-Roc,2019,24430,150
78828,238032,volkswagen, T-Roc,2019,24970,150
78834,238038,volkswagen, Tiguan,2019,24950,131
78835,238039,volkswagen, Golf,2019,18350,116
78836,238040,volkswagen, Golf,2019,18550,116
78841,238045,volkswagen, Tiguan,2019,25950,150
78843,238047,volkswagen, T-Cross,2019,23180,116
78847,238051,volkswagen, T-Roc,2019,24630,150
78848,238052,volkswagen, Tiguan,2019,24900,190
78851,238055,volkswagen, Golf,2019,21440,131
78852,238056,volkswagen, Tiguan,2019,25595,150
78855,238059,volkswagen, Golf,2019,22449,150
78861,238066,volkswagen, T-Cross,2019,21489,116
78868,238074,volkswagen, T-Roc,2019,56150,150
78873,238079,volkswagen, T-Roc,2019,23950,190
78875,238081,volkswagen, T-Roc,2019,20990,116
78880,238086,volkswagen, Golf,2019,27700,300
78882,238089,volkswagen, Tiguan,2019,33990,220
78884,238091,volkswagen, Tiguan,2019,29940,190
78885,238092,volkswagen, T-Roc,2019,22870,150
78892,238100,volkswagen, Caddy,2019,18549,131
78893,238101,volkswagen, T-Cross,2019,20690,116
78894,238102,volkswagen, T-Roc,2019,20990,116
78896,238104,volkswagen, Golf,2019,24790,131
78897,238106,volkswagen, T-Roc,2019,19900,150
78900,238109,volkswagen, Tiguan,2019,14420,190
78902,238112,volkswagen, Golf,2019,17490,131
78905,238115,volkswagen, Golf,2019,17850,116
78906,238116,volkswagen, T-Roc,2019,24880,150
78908,238118,volkswagen, T-Roc,2019,18930,116
78909,238119,volkswagen, Caddy,2019,25990,131
78910,238120,volkswagen, T-Roc,2019,24980,190
78913,238124,volkswagen, T-Roc,2019,23950,150
78914,238125,volkswagen, T-Roc,2019,25490,150
78915,238126,volkswagen, T-Roc,2019,19480,150
78917,238128,volkswagen, Tiguan,2019,36499,190
78918,238129,volkswagen, T-Roc,2019,34890,190
78922,238133,volkswagen, Golf,2019,20990,116
78923,238134,volkswagen, Caddy,2019,34980,102
78924,238135,volkswagen, Golf,2019,14950,116
78925,238136,volkswagen, Caddy,2019,15990,102
78926,238137,volkswagen, Caddy,2019,34980,102
78928,238139,volkswagen, Caddy,2019,25300,122
78929,238140,volkswagen, Caddy,2019,18990,102
78931,238142,volkswagen, Tiguan,2019,24960,150
78932,238143,volkswagen, Caddy,2019,28499,122
78933,238144,volkswagen, Caddy,2019,36980,102
78934,238146,volkswagen, Tiguan,2019,23930,131
78937,238149,volkswagen, Tiguan,2019,31000,150
78938,238150,volkswagen, T-Roc,2019,27449,190
78942,238154,volkswagen, T-Roc,2019,18750,116
78943,238156,volkswagen, Golf,2019,22999,245
78944,238157,volkswagen, Golf,2019,33330,300
78946,238160,volkswagen, Golf,2019,17840,116
78947,238161,volkswagen, T-Roc,2019,22995,150
78948,238162,volkswagen, Tiguan,2019,26490,190
78949,238165,volkswagen, T-Roc,2019,23999,150
78952,238168,volkswagen, Caddy,2019,24999,131
78953,238169,volkswagen, T-Roc,2019,22650,150
78954,238170,volkswagen, T-Roc,2019,26990,150
78957,238174,volkswagen, T-Roc,2019,25999,150
78958,238175,volkswagen, T-Roc,2019,26000,150
78961,238178,volkswagen, Golf,2019,31000,300
78962,238179,volkswagen, T-Roc,2019,17950,150
78966,238183,volkswagen, T-Roc,2019,19577,116
78969,238187,volkswagen, Golf,2019,27750,184
78971,238189,volkswagen, Caddy,2019,36980,102
78973,238191,volkswagen, Tiguan,2019,25950,150
78974,238192,volkswagen, Golf,2019,16380,86
78975,238193,volkswagen, T-Cross,2019,22990,116
78976,238195,volkswagen, Golf,2019,22900,184
78977,238196,volkswagen, Golf,2019,38800,300
78982,238201,volkswagen, T-Roc,2019,24999,190
78983,238202,volkswagen, T-Roc,2019,24999,150
78984,238203,volkswagen, Golf,2019,22490,131
78986,238205,volkswagen, T-Roc,2019,26290,150
78988,238208,volkswagen, T-Cross,2019,22980,116
78990,238210,volkswagen, Golf,2019,19970,116
78991,238211,volkswagen, T-Roc,2019,26450,150
78993,238213,volkswagen, Golf,2019,27990,184
78994,238215,volkswagen, Tiguan,2019,22990,150
78995,238216,volkswagen, Golf,2019,23999,184
78997,238218,volkswagen, Tiguan,2019,29900,190
78999,238220,volkswagen, Golf,2019,26690,300
