,brand,model,color,registration_date,year,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km
933,alfa-romeo,Alfa Romeo Giulia,blue,10/2021,2021,59790,280,Automatic,Petrol,6.7,10.0
934,alfa-romeo,Alfa Romeo Stelvio,blue,12/2021,2021,71090,280,Automatic,Petrol,7.3,490.0
935,alfa-romeo,Alfa Romeo Giulia,blue,09/2021,2021,70800,510,Automatic,Petrol,9.2,21373.0
936,alfa-romeo,Alfa Romeo Stelvio,blue,04/2021,2021,44750,209,Automatic,Diesel,5.7,66000.0
937,alfa-romeo,Alfa Romeo Giulia,blue,02/2021,2021,36650,190,Automatic,Diesel,4.8,50935.0
938,alfa-romeo,Alfa Romeo Stelvio,blue,04/2021,2021,44890,280,Automatic,Petrol,7.0,34500.0
939,alfa-romeo,Alfa Romeo Stelvio,yellow,11/2021,2021,52490,280,Automatic,Petrol,7.4,26000.0
940,alfa-romeo,Alfa Romeo Stelvio,grey,07/2021,2021,72690,510,Automatic,Petrol,10.0,45000.0
941,alfa-romeo,Alfa Romeo Giulia,grey,06/2021,2021,43985,209,Automatic,Diesel,4.8,16643.0
942,alfa-romeo,Alfa Romeo Stelvio,grey,08/2021,2021,52990,280,Automatic,Petrol,7.4,22500.0
943,alfa-romeo,Alfa Romeo Stelvio,grey,12/2021,2021,55990,280,Automatic,Petrol,7.4,6759.0
944,alfa-romeo,Alfa Romeo Giulia,grey,04/2021,2021,38850,190,Automatic,Diesel,4.9,39990.0
946,alfa-romeo,Alfa Romeo Giulia,grey,01/2021,2021,70890,510,Automatic,Petrol,9.0,44900.0
947,alfa-romeo,Alfa Romeo Stelvio,grey,07/2021,2021,48750,280,Automatic,Petrol,7.4,9873.0
948,alfa-romeo,Alfa Romeo Stelvio,grey,03/2021,2021,38490,200,Automatic,Petrol,7.6,51995.0
949,alfa-romeo,Alfa Romeo Stelvio,grey,10/2021,2021,45950,280,Automatic,Petrol,7.4,48558.0
950,alfa-romeo,Alfa Romeo Stelvio,grey,12/2021,2021,58600,280,Automatic,Petrol,8.8,4200.0
951,alfa-romeo,Alfa Romeo Giulia,grey,11/2021,2021,36990,190,Automatic,Diesel,5.0,55000.0
